Tag,synonyms,RANK,Questions
"python","python-shell;pythonic;python-interpreter;py","1","220152"
"javascript","ecmascript;javascript-alert;classic-javascript;javascript-runtime;javascript-execution;javascript-disabled;vanilla-javascript;javascript-module;.js;vanilla-js;vanillajs;js;javascript-dom;javascript-library","2","159181"
"java","javax;java-libraries;oraclejdk;.java;java-se;openjdk;j2se;core-java;java-api;jdk;jre","3","80059"
"reactjs","react;react-jsx;react.js","4","73045"
"html","html5;time-tag;html-tag;div;divs;nested-divs;div-layouts;html-head;html-comments;span;html-attributes;webpage","5","60567"
"c#","c#-language;visual-c#;.cs-file;c#.net;csharp;c-sharp","6","56823"
"android","android-sdk;android-device;android-ui;android-framework;android-api;android-mobile;android-application","7","54742"
"node.js","nodejs;io.js","8","47191"
"php","php-mail;php-cgi;php-functions;php-readfile;hypertext-preprocessor;php-namespaces;php.ini;php-session;phtml;php-frameworks;php-date;php5;php-include;php-fpm;php-cli;php-oop;php-errors","9","44638"
"r","r-language;rstats","10","44241"
"css","box-model;css-validation;style.css-template-file;css-menu;css-reset;box-sizing;box-shadow;css-background-image;css-display;dynamic-css;css-borders;alternate-stylesheets;css-font-weight;min-height;min-width;max-height;max-width;css-layout;css-attributes;css-columns;css2;css-inheritance;css-line-height;css-overflow;css-border-image;css-border-radius;css-box-shadow;css-text-shadow;css3;css-text-overflow;cascading-style-sheet;font-weight;css-box-model;css-centering;inline-block;css-classes;css-height","11","41462"
"python-3.x","python-3;py3k;python3k;python3;py3","12","38944"
"c++","cpp;cxx","13","37192"
"sql","select-statement;sql-syntax;sql-select;sqlselect;sql-statement;sql-query","14","34784"
"flutter","flutter-sdk","15","34715"
"angular","angularjs2;angular2;angular4;angular4.x","16","27857"
"typescript","atscript;ts;vanilla-typescript","17","27766"
"arrays","sub-arrays;character-arrays;static-array;array;arraycopy;mongodb-arrays;array-of-objects;bytearray;jsonarray;string-array;char-array;swift-array;javascript-array","18","23901"
"mysql","mysqld;mysqlclient;mysql-table;mysql-server;mysqlsh;my-sql;mysqldump;mysql-query;mysql-if","19","23296"
"json","jsonobject;json-parsing;json-encode;json-decode","20","21200"
"swift","swift-language;swift-ios;swift1.2","21","21085"
"jquery","addclass;jquery-after;toggleclass;removeclass;jquery-filter;jquery-effects;jquery-css;jquery-hasclass;jquery-live;jquery-callback;jquery-get;jquery-post;jquery-find;jquery-core","22","20381"
"dataframe","r-df;pandas-df;data-frame;dataframes;data.frame","23","20138"
"ios","iphone-os;apple-ios;ios-sdk","24","19931"
"react-native","reactjs-native;react-native-android;react-native-ios;react-native-web","25","19516"
"amazon-web-services","aws","26","18028"
"excel","workbook;ms-excel;excel-macro","27","17615"
"firebase","firebase-android","28","16465"
"vue.js","vuejs;vue;vue-js","29","16367"
"postgresql","pgsql;sql-postgres;postgres","30","15371"
"mongodb","mongo;mongod","31","14804"
"sql-server","ms-sql-server;sql-srever;mssql","32","13697"
"wordpress","wordpress-loop;wordpress-plugin-dev;wordpress-mu;wordpress-filter;wordpress-widget;wordpress-permission;wordpress-theme-customize;wp-query;wordpress-plugin;wpdb;wordpress-admin;wordpress-upgrade","33","13222"
"spring","spring-java-config;spring-framework;spring-config","34","12630"
"azure","az;windows-azure","35","12543"
"vba","visual-basic-applications;vba-macros;macros-vba","36","12175"
"api","apis","37","11290"
"list","python-list;lists;ilist;prolog-lists","38","10945"
"tensorflow","tensorflow-gpu","39","10524"
"express","express.js;expressjs","40","10183"
"android-studio","androidstudio-settings","41","10050"
".net","dotnet;.net-framework;dot-net","42","10003"
"asp.net-core","asp-net-core;aspnet-core;asp.net-5;asp.net-vnext","43","9898"
"visual-studio-code","vscode","44","9864"
"regex","regex-php;perl-regex;apache-regexp;regularexpression;regexp;regular-expression;regular-expressions;regexes;perlre","45","9720"
"database","db;databases;dbms;database-structure","46","9316"
"powershell","windows-powershell","47","9051"
"string","strings;str;string-manipulation;empty-string","48","8426"
"windows","windows-application;windows-programming;windows-applications","49","8374"
"git","git-commands","50","8317"
"kubernetes","kubernetes-pod;k8s","51","8173"
"function","functions;def","52","7733"
"bash",".bash-profile;bash-function;bash-variables;bashrc;.bashrc;bash-script;bash-alias","53","7696"
"matplotlib","plt;pylab;pyplot","54","7519"
"swiftui","swiftui-bug","55","7337"
"google-cloud-firestore","firebase-firestore;firestore;cloud-firestore;firebase-cloud-firestore;firebasefirestore","56","7253"
"xml","xml-file","57","7214"
"asp.net","asp.net-website;aspdotnet;asp-net;aspx","58","7081"
"google-sheets","google-spreadsheet;sheets;google-sheets-conditionalformatting;gs-conditional-formatting;google-sheets-filter-view;google-sheets-charts;google-sheets-export-url;gs","59","6924"
"ruby-on-rails","ror;rails","60","6920"
"flask","flask-blueprint","61","6892"
"loops","iterate;loop;looping","62","6854"
"apache-spark","spark;spark-cluster-framework","63","6728"
"macos","mac;macosx;osx","64","6295"
"visual-studio","visual-studio-community;msvs;vs.net","65","6218"
"dictionary","dictionaries;map;dict","66","6194"
"google-cloud-platform","google-cloud;gcp","67","6130"
"xcode","xcode-ide","68","6117"
"tkinter","tk;tcltk","69","6076"
"next.js","nextjs","70","6067"
"go","golang;go-language","71","6062"
"ajax",".ajax;ajax-request","72","6001"
".net-core","dotnetcore;dotnet-core","73","5903"
"csv","tab-delimited;tab-delimited-text;delimited-text;delimiter-separated-values;comma-separated;.csv;tsv","74","5880"
"google-apps-script","gs-installable-triggers;google-apps-script-simple-triggers;google-apps-script-web-application;gas-web-app;google-apps-script-html-service;google-scripts;google-script;googlescript;google-sheets-custom-function;google-apps-script-addon;gsuite-addons;gmail-addons;advanced-google-services;google-apps-script-editor;google-apps-script-dashboard;google-apps-script-project;google-apps-script-menu;google-apps-script-runtime;google-apps-script-libraries;google-sheets-macros","75","5804"
"web-scraping","scraper;webpagescraping","76","5770"
"npm","npmjs","77","5759"
"unity3d","unity-game-engine;unity3d-5;unity5;unity;unity2d;unity5.3","78","5696"
"algorithm","algorithm-design;algorithms","79","5670"
"discord","discordapp","80","5612"
"for-loop","for","81","5603"
"ggplot2","ggplot;qplot","82","5391"
"image","picture;pictures;img;images","83","5328"
"multithreading","threads;thread;cross-threading;threading;multithread;multi-threaded","84","5292"
"elasticsearch","elastic","85","5092"
"discord.py","discord.py-rewrite","86","5062"
"amazon-s3","aws-s3;s3;s3-bucket","87","4963"
"opencv","opencv-python;opencv-contrib;image-processing","88","4781"
"pyspark","pyspark-dataframes","89","4749"
"django-models","django-fields;django-imagefield","90","4689"
"asp.net-mvc","asp.mvc;asp-mvc;asp-net-mvc;mvc.net;aspnet.mvc;aspnet-mvc;asp.net.mvc","91","4667"
"unit-testing","unit-test;unit-tests;unittest","92","4665"
"authentication","authenticate;logon;auth;user-authentication;client-authentication;login","93","4594"
"rest","restful-architecture;restful;restful-web-services;rest-api","94","4548"
"django-rest-framework","drf","95","4451"
"maven","mvn","96","4443"
"forms","form;html-form","97","4354"
"sqlite","sqlite3;sqlitedatabase;sqllite","98","4347"
"shell","shell-script;shell-scripting;shell-command;shell-commands;shellscript;shell-trap","99","4323"
"datetime","datetime-manipulation;datetime-operation;datetime-functions","100","4233"
"ubuntu","xubuntu;kubuntu;lubuntu","101","4229"
"object","objects","102","4170"
"class","classes","103","4153"
"aws-lambda","amazon-lambda","104","4145"
"sorting","array-sorting;sorting-algorithm;date-sorting;sorted;sort","105","4116"
"date","java-date;dates","106","4099"
"if-statement","if-then;if-else;ifelse;elseif;if;if-else-statement;if-then-else;if-condition;else;if-clause","107","4080"
"performance","tuning;android-performance;javascript-performance;jquery-performance;linq-performance;wcf-performance;application-performance;speed-up;efficiency;faster;running-time;performance-comparison;fast;slow;speed;code-efficiency;slowness;slow-load;performance-measurement;performance-monitoring;performance-issues;perfomance;performance-tuning","108","4047"
"file","files","109","4008"
"azure-devops","team-foundation-service;vsts;vso;visual-studio-online;vs-team-services;visual-studio-team-services;tfs-service","110","4003"
"google-chrome","chrome","111","3971"
"selenium-webdriver","selenium2;selenium-webdriver-c#;selenium-webdriver-java;webdriverjs;webdriver;selenium","112","3961"
"material-ui","mui","113","3937"
"apache-kafka","kafka","114","3792"
"bootstrap-4","twitter-bootstrap-4;bootstrap-4.1.x;twitter-bootstrap-4-beta","115","3768"
"redux","redux-reducers","116","3753"
"web","websites;website;www","117","3744"
"tsql","transact-sql","118","3618"
"jupyter-notebook","ipython-notebook","119","3606"
"vb.net","vb;vbproj","120","3550"
"jestjs","jest","121","3544"
"deep-learning","dnn-learning;deep-neural-network","122","3537"
"asynchronous","async;asynchronous-processing;asynchronously","123","3392"
"beautifulsoup","bs4","124","3369"
"testing","tests;test;software-testing","125","3315"
"ssl","tls","126","3219"
"firebase-realtime-database","firebase-database","127","3189"
"ionic-framework","ionic","128","3111"
"python-requests","requests","129","3070"
"xamarin.forms","xamarin-forms","130","3052"
"google-bigquery","google-bigquery-ml;bigquery;python-bigquery;bigquery-ml;bigquery-standard-sql","131","3019"
"shiny","rshiny","132","3009"
"apache","httpd","133","2980"
"scikit-learn","scikits-learn;sklearn","134","2958"
"entity-framework-core","ef-core;efcore;entity-framework-7","135","2915"
"websocket","websockets","136","2913"
"async-await","async-ctp;await;.net-async-await","137","2900"
"sockets","socket;socket-programming;bsd-sockets","138","2865"
"winforms","windows.forms;window-form;windows-form;window-forms;windows-forms;winform;windows-forms-app","139","2861"
"plot","plotting","140","2837"
"jpa","jakarta-persistence;java-persistence-api","141","2817"
"user-interface","gui;ui","142","2808"
"amazon-ec2","aws-ec2;ec2","143","2779"
"svg","svg-path;svg-image;svgz;svg-favicon","144","2759"
"filter","filters","145","2745"
"matlab","m-file;matlab-toolbox;mlint;matlab-ide;matlab-path","146","2743"
"apache-spark-sql","spark-dataframe;pyspark-sql;spark-sql","147","2685"
"oop","oo;object-orientation;ood;oops;object-oriented-modeling;object-oriented;oo-design;object-oriented-design","148","2684"
"firebase-authentication","firebase-anonymous-authentication;firebasesimplelogin","149","2670"
"vuejs2","vue2","150","2655"
"ansible","ansible-playbook","151","2645"
"recursion","recursive","152","2640"
"intellij-idea","intellij-2016.1;intellij","153","2637"
"sass","scss","154","2625"
"entity-framework","entity-framework-mapping;ef;linq-entity-framework;fluent-entity-framework;entity-framework-designer;sql-to-entity-framework","155","2607"
"variables","vars;variable","156","2559"
"expo","exponentjs","157","2559"
"pip","pip3","158","2552"
"android-recyclerview","recycler-adapter;recyclerview;recyclerview-layout","159","2520"
"networking","network;networks","160","2505"
"nuxt.js","nuxtjs;nuxt","161","2504"
"email","email-integration;email-injection;mail","162","2493"
"cmake","cmake-gui","163","2474"
"pointers","pointer;ptr","164","2467"
"symfony","symfony2;symfony3","165","2463"
"templates","template","166","2423"
"validation","validating;validator;validators;data-validation;form-validation;input-validation;validations;validate","167","2398"
"assembly","assembler;asm;assembly-language","168","2392"
"optimization","optimisation;optimize;optimizing;optimizer;code-optimization;optimizations","169","2386"
"eloquent","laravel-eloquent","170","2381"
"security","cybersecurity;web-security;secure;vulnerability;vulnerabilities","171","2378"
"math","mathematical;arithmetic;maths;mathematics","172","2372"
"spring-data-jpa","spring-boot-jpa;spring-jpa","173","2366"
"debugging","debugger;debug","174","2350"
"excel-formula","excel-indirect;excel-match","175","2350"
"logging","logger;log;logs","176","2334"
"blazor","asp.net-blazor","177","2285"
"nlp","natural-language-processing;text-analysis;language-processing;natural-language-process;natural-language;computational-linguistics","178","2278"
"matrix","matrices","179","2265"
"parsing","parser;parsers;parse","180","2258"
"input","inputs","181","2251"
"animation","animations;animated;rotateanimation;scaleanimation","182","2250"
"jwt","json-web-token;jwt-auth","183","2235"
"google-cloud-functions","firebase-cloud-functions;firebase-functions","184","2235"
"plotly","r-plotly","185","2220"
"data-structures","data-structure","186","2220"
"vuejs3","vue3","187","2210"
"button","buttons","188","2161"
"linq","linq-query-syntax;language-integrated-query","189","2152"
"import","importing;imports","190","2119"
"graph","graphs","191","2087"
"indexing","index;indexes","192","2084"
"generics","kotlin-generics;generic-programming;.net-generics;generic-class;generic;scala-generics;swift-generics;java-generics","193","2055"
"dom","html-dom;htmldocument","194","2048"
".htaccess","htaccess;codeigniter-htaccess","195","2048"
"azure-functions","azure-function-app","196","2010"
"oauth-2.0","oauth2","197","2008"
"snowflake-cloud-data-platform","snowflake-data-warehouse;snowflake-data-masking;snowsql;snowflake-task;snowflake-pipe;snowflake-stream;snowflake;snowflake-datawarehouse;snowflake-connector-python","198","2007"
"twitter-bootstrap","bootstrap-framework","199","1999"
"flexbox","flex;flex-direction;flex-grow;css-flexbox","200","1996"